정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시
0,경희대차고지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,사색의광장,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0
2,생명과학대.산업대학,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
3,경희대체육대학.외대,0,0,0,1,1,1,1,1,2,2,2,1,2,5,1,1,1,0,1,0,0,0,0,0
4,경희대학교,1,1,1,2,2,3,5,5,5,5,5,4,5,7,4,4,3,2,4,0,0,0,0,0
5,살구골.서광아파트,0,0,1,3,4,5,7,6,8,7,6,6,6,7,5,3,3,3,3,0,0,0,0,0
6,살구골동아아파트,1,2,3,5,8,10,13,13,13,12,11,10,10,10,6,6,6,6,6,0,0,0,0,0
7,살구골현대아파트.영통역4번출구,2,1,1,2,10,11,13,15,14,14,10,9,10,8,6,7,5,6,5,0,0,0,0,0
8,영통역,4,3,4,6,10,14,18,19,19,18,16,16,15,12,11,10,11,11,11,0,0,0,0,0
9,청명역3번출구,2,1,3,5,14,17,19,21,21,19,17,17,15,12,9,9,11,11,9,0,0,0,0,0
10,황골벽산아파트,3,1,2,9,16,21,23,25,25,23,19,19,18,15,12,11,14,13,9,0,0,0,0,0
11,영통입구,2,3,4,7,17,23,26,27,28,26,23,23,20,17,13,12,15,15,13,0,0,0,0,0
12,잔다리마을.힉스유타워,1,1,3,7,16,23,24,27,24,21,20,14,17,15,9,9,13,9,6,0,0,0,0,0
13,청현마을.수원신갈IC,3,4,6,12,21,28,31,34,35,29,28,26,25,20,16,13,17,16,13,0,0,0,0,0
14,가천대,0,5,5,8,16,21,27,30,31,27,25,22,23,18,13,12,12,14,13,3,0,0,0,0
15,장지역.가든파이브(중),0,2,3,5,13,17,23,27,30,26,23,20,21,16,12,10,11,11,11,6,0,0,0,0
16,문정법조단지.건영아파트(중),0,1,3,2,7,15,20,24,24,21,20,17,16,10,9,6,6,9,8,4,0,0,0,0
17,문정로데오거리입구(중),0,1,1,2,7,9,17,21,21,20,17,16,13,12,9,5,7,7,9,4,0,0,0,0
18,가락시장.가락시장역(중),0,3,2,2,7,12,16,22,23,21,20,14,15,13,10,8,7,9,7,4,0,0,0,0
19,송파역(중),0,1,1,1,6,10,11,20,21,17,16,15,12,13,8,6,7,5,6,2,0,0,0,0
20,석촌역(중),0,2,1,1,5,9,10,18,20,16,15,14,13,11,7,5,5,7,5,3,0,0,0,0
21,석촌호수.한솔병원(중),0,1,1,2,4,7,12,16,15,14,13,12,11,11,7,4,3,6,5,3,0,0,0,0
22,잠실역.잠실대교남단(중),0,1,1,2,2,3,5,7,7,5,8,6,5,7,4,4,4,5,5,3,0,0,0,0
23,자양동잠실대교북단,0,0,0,0,1,1,3,3,3,3,4,3,3,4,3,1,2,3,2,2,0,0,0,0
24,구의역3번출구,0,0,0,0,0,1,2,2,1,1,2,2,2,2,2,1,1,1,1,0,0,0,0,0
