정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시
0,경희대차고지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,사색의광장,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
2,생명과학대.산업대학,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0
3,경희대체육대학.외대,0,0,1,1,1,1,2,2,3,4,3,2,3,3,2,1,1,1,1,0,0,0,0,0
4,경희대학교,1,2,2,3,4,4,5,6,7,8,7,6,6,7,4,3,3,4,3,0,0,0,0,0
5,살구골.서광아파트,1,1,1,5,7,7,8,9,10,11,10,8,9,9,5,3,3,5,3,0,0,0,0,0
6,살구골동아아파트,2,3,5,8,11,14,16,17,17,18,14,14,13,12,6,5,5,5,6,0,0,0,0,0
7,살구골현대아파트.영통역4번출구,4,2,3,9,11,14,17,19,19,19,15,14,14,12,6,5,4,5,6,0,0,0,0,0
8,영통역,8,5,5,11,12,19,22,26,26,26,22,21,21,18,11,9,10,11,14,0,0,0,0,0
9,청명역3번출구,6,3,7,10,15,22,25,27,29,27,24,22,23,18,11,8,8,10,14,0,0,0,0,0
10,황골벽산아파트,6,7,8,14,19,24,30,33,33,34,29,25,26,22,13,11,10,13,12,0,0,0,0,0
11,영통입구,2,7,8,15,21,28,34,36,35,34,32,28,30,25,16,12,13,13,17,0,0,0,0,0
12,잔다리마을.힉스유타워,3,4,6,11,21,28,33,30,33,31,28,25,23,22,14,8,10,10,11,0,0,0,0,0
13,청현마을.수원신갈IC,5,12,9,18,27,34,39,41,40,40,37,32,34,29,18,13,14,14,15,2,0,0,0,0
14,가천대,0,10,6,13,20,28,34,38,37,37,36,27,32,27,20,12,12,12,15,6,0,0,0,0
15,장지역.가든파이브(중),0,8,7,11,17,22,30,32,34,32,33,24,27,25,18,11,10,10,12,9,0,0,0,0
16,문정법조단지.건영아파트(중),0,5,7,7,14,20,26,28,31,27,28,20,22,23,13,9,8,7,9,3,0,0,0,0
17,문정로데오거리입구(중),0,4,2,8,12,18,24,27,28,28,24,20,19,22,14,7,5,7,8,5,0,0,0,0
18,가락시장.가락시장역(중),0,8,4,6,12,17,21,27,28,26,24,23,22,20,15,8,6,6,7,6,0,0,0,0
19,송파역(중),0,2,1,6,9,15,19,25,25,23,23,20,21,18,14,8,6,6,7,5,0,0,0,0
20,석촌역(중),0,6,2,2,8,14,18,22,23,21,21,19,17,16,12,6,3,5,5,6,0,0,0,0
21,석촌호수.한솔병원(중),0,2,3,3,7,11,14,20,19,17,18,16,14,13,10,6,5,6,5,5,0,0,0,0
22,잠실역.잠실대교남단(중),0,3,4,2,5,7,6,9,8,7,8,7,7,6,6,3,4,4,3,4,0,0,0,0
23,자양동잠실대교북단,0,1,2,1,2,3,4,5,5,5,5,5,4,4,4,1,2,3,2,3,0,0,0,0
24,구의역3번출구,0,1,2,1,1,2,3,3,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0
25,테크노마트앞.강변역(C),0,0,1,1,2,2,3,3,3,3,4,4,4,3,4,4,3,4,4,3,0,0,0,0
26,구의역2번출구,0,0,2,2,3,3,4,5,5,5,6,7,7,7,6,5,7,9,9,7,1,0,0,0
27,자양동잠실대교북단,0,0,2,3,4,5,6,6,6,7,7,8,8,9,7,6,7,9,9,7,1,0,0,0
28,잠실역.잠실대교남단(중),0,0,6,6,6,9,11,11,12,11,16,19,21,25,24,22,27,34,32,18,3,0,0,0
29,석촌호수.한솔병원(중),0,0,5,5,6,8,12,11,13,11,19,20,24,28,27,26,28,33,38,24,6,0,0,0
30,석촌역(중),0,0,2,5,7,7,12,12,14,13,20,19,24,28,27,22,26,34,30,25,3,0,0,0
31,송파역(중),0,0,6,8,7,7,12,14,16,14,19,22,24,30,24,24,23,32,27,28,2,0,0,0
32,가락시장.가락시장역(중),0,0,6,8,8,8,14,15,17,15,21,24,25,30,29,28,28,32,36,29,5,0,0,0
33,문정로데오거리입구(중),0,0,4,8,9,9,15,14,17,17,21,24,26,31,29,24,20,23,21,28,2,0,0,0
34,문정법조단지.건영아파트(중),0,0,3,7,8,9,15,18,19,18,24,28,29,33,31,30,27,31,30,27,8,0,0,0
35,장지역.가든파이브(중),0,0,8,11,11,13,20,22,22,21,25,31,31,36,34,32,30,36,29,32,8,0,0,0
36,가천대,0,0,7,11,11,13,19,21,26,21,29,31,32,32,34,33,29,37,27,34,15,0,0,0
37,청현마을.수원신갈IC,0,0,6,9,10,11,15,18,22,19,21,27,27,30,32,31,26,35,38,34,21,0,0,0
38,잔다리마을.힉스유타워,0,0,2,4,7,7,11,14,19,17,17,23,25,23,29,28,23,29,34,29,18,0,0,0
39,신동아파밀리에,0,0,1,5,6,5,8,11,16,13,15,21,22,25,26,25,20,26,33,29,17,0,0,0
40,황골주공.벽산아파트,0,0,2,5,7,7,11,14,17,15,16,20,21,22,25,23,18,25,30,27,18,0,0,0
41,청명역4번출구,0,0,1,3,6,6,10,12,14,13,15,17,18,19,22,21,16,22,26,24,15,0,0,0
42,훼미리타워,0,0,1,4,7,7,9,11,13,12,13,15,15,17,18,18,16,19,23,20,13,0,0,0
43,영통역8번출구.수원지방법원등기국,0,0,1,4,6,6,6,7,8,9,8,9,9,10,12,11,11,13,16,15,10,0,0,0
44,극동.풍림아파트,0,0,0,1,2,3,4,4,6,6,6,6,7,6,8,7,8,9,12,11,8,0,0,0
45,e편한세상아파트,0,0,0,1,3,3,2,3,5,5,4,5,4,4,6,6,5,7,9,8,6,0,0,0
46,서그내,0,0,0,2,2,1,2,2,3,3,3,4,3,3,4,3,3,4,5,5,4,0,0,0
47,경희대정문,0,0,0,1,2,2,1,2,2,3,2,2,2,2,2,1,1,2,2,2,2,0,0,0
48,외국어대학,0,0,0,0,1,1,1,1,1,2,1,1,0,1,1,0,0,0,0,1,0,0,0,0
49,생명과학대,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,사색의광장,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,경희대차고지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
