정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시
0,경희대차고지,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,사색의광장,0,0,1,0,0,0,1,1,1,2,2,2,4,4,2,2,2,1,2,0,0,0,0,0
2,생명과학대.산업대학,0,0,0,0,0,0,0,1,0,1,2,2,3,5,3,2,1,1,1,0,0,0,0,0
3,경희대체육대학.외대,0,0,1,1,1,1,1,3,3,4,5,5,9,8,4,4,3,2,3,0,0,0,0,0
4,경희대학교,2,1,2,7,5,3,3,5,6,7,9,9,15,14,8,7,6,5,6,0,0,0,0,0
5,살구골.서광아파트,2,3,8,16,10,6,5,5,8,7,6,10,13,12,10,5,4,5,4,0,0,0,0,0
6,살구골동아아파트,3,6,20,39,21,15,9,9,12,10,9,13,17,15,13,7,7,7,7,0,0,0,0,0
7,살구골현대아파트.영통역4번출구,5,6,23,38,24,17,9,9,12,9,8,11,16,14,13,8,6,6,6,0,0,0,0,0
8,영통역,8,7,26,39,30,22,13,13,16,13,11,15,20,18,18,12,11,13,14,0,0,0,0,0
9,청명역3번출구,9,8,31,41,36,28,15,13,17,14,11,15,19,18,18,10,10,11,14,0,0,0,0,0
10,황골벽산아파트,5,10,38,42,40,34,18,15,20,16,11,17,21,20,19,11,11,14,14,0,0,0,0,0
11,영통입구,3,11,37,39,38,34,21,17,23,18,13,19,24,23,26,14,13,16,16,0,0,0,0,0
12,잔다리마을.힉스유타워,2,6,34,37,40,34,16,15,19,13,10,15,19,24,27,12,12,12,12,0,0,0,0,0
13,청현마을.수원신갈IC,4,14,40,40,42,40,27,21,27,21,15,22,29,29,31,16,16,17,17,0,0,0,0,0
14,가천대,0,10,31,41,39,36,25,17,20,18,15,15,21,25,27,16,13,14,14,10,0,0,0,0
15,장지역.가든파이브(중),0,9,22,35,34,32,23,16,17,16,13,13,17,20,20,14,10,11,11,9,0,0,0,0
16,문정법조단지.건영아파트(중),0,4,20,31,31,28,20,13,13,13,9,8,12,15,17,12,8,8,8,6,0,0,0,0
17,문정로데오거리입구(중),0,5,16,27,26,23,17,12,12,12,9,9,12,16,18,13,6,7,8,6,0,0,0,0
18,가락시장.가락시장역(중),0,7,12,23,22,19,15,12,12,12,10,9,12,15,16,12,7,7,7,7,0,0,0,0
19,송파역(중),0,2,8,20,20,16,12,9,10,10,8,7,10,13,13,10,6,6,6,5,0,0,0,0
20,석촌역(중),0,5,10,19,17,16,12,9,10,9,7,7,8,11,10,9,5,5,5,4,0,0,0,0
21,석촌호수.한솔병원(중),0,3,8,17,16,15,12,9,8,8,7,5,8,10,10,8,4,4,5,3,0,0,0,0
22,잠실역.잠실대교남단(중),0,2,5,8,7,5,5,5,4,4,4,4,5,5,6,5,3,3,4,3,0,0,0,0
23,자양동잠실대교북단,0,0,2,4,4,3,2,3,2,2,2,2,2,3,4,3,2,2,2,2,0,0,0,0
24,구의역3번출구,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0
25,테크노마트앞.강변역(C),0,1,2,3,2,2,2,2,2,2,2,2,2,3,3,3,2,2,3,2,0,0,0,0
26,구의역2번출구,0,0,4,5,4,3,3,3,2,3,3,4,5,7,11,8,5,6,6,4,0,0,0,0
27,자양동잠실대교북단,0,0,5,8,8,4,4,4,3,4,4,5,6,9,12,9,6,6,7,4,0,0,0,0
28,잠실역.잠실대교남단(중),0,0,9,12,14,9,8,8,8,9,10,12,17,29,37,30,20,22,22,11,2,0,0,0
29,석촌호수.한솔병원(중),0,0,8,13,15,11,8,7,8,9,10,13,18,32,38,32,24,26,26,14,3,0,0,0
30,석촌역(중),0,0,8,15,16,11,9,7,7,9,8,11,18,33,38,33,22,27,27,14,2,0,0,0
31,송파역(중),0,0,9,19,20,16,9,9,8,9,10,13,19,35,38,33,21,27,26,15,2,0,0,0
32,가락시장.가락시장역(중),0,0,11,19,20,18,10,10,10,10,12,16,23,39,41,37,26,31,30,18,4,0,0,0
33,문정로데오거리입구(중),0,0,11,20,20,20,11,9,11,11,12,17,24,40,41,39,29,32,30,19,4,0,0,0
34,문정법조단지.건영아파트(중),0,0,12,21,21,20,12,10,12,11,14,18,26,39,40,38,31,34,33,19,5,0,0,0
35,장지역.가든파이브(중),0,0,15,26,25,25,16,15,15,14,16,20,28,39,37,36,33,35,34,19,5,0,0,0
36,가천대,0,0,15,27,27,27,16,18,18,16,19,23,30,39,39,36,35,36,36,26,9,0,0,0
37,청현마을.수원신갈IC,0,0,7,14,24,27,18,17,17,13,16,18,21,32,38,38,33,31,31,27,13,0,0,0
38,잔다리마을.힉스유타워,0,0,3,12,22,23,16,11,11,10,13,15,18,28,36,36,30,27,27,23,9,0,0,0
39,신동아파밀리에,0,0,3,11,21,23,13,12,12,10,11,13,17,25,33,34,29,26,26,23,9,0,0,0
40,황골주공.벽산아파트,0,0,1,8,19,19,15,13,13,10,13,13,16,21,28,29,25,22,23,21,10,0,0,0
41,청명역4번출구,0,0,0,8,18,14,13,13,12,10,11,11,13,18,23,25,21,19,20,18,8,0,0,0
42,훼미리타워,0,0,0,6,16,16,15,12,11,10,10,10,12,15,20,21,18,16,17,15,7,0,0,0
43,영통역8번출구.수원지방법원등기국,0,0,0,6,20,15,17,14,12,12,10,8,8,9,13,14,13,11,13,12,7,0,0,0
44,극동.풍림아파트,0,0,0,3,15,8,10,7,7,6,6,5,6,7,9,10,9,7,9,9,5,0,0,0
