정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시
0,초당주공3단지후문,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,초당초등학교.현진에버빌,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,초당중학교.삼부르네상스아파트,0,0,0,0,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,동백경남아너스빌,0,0,0,1,0,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,동백역.성산마을서해그랑블,0,2,0,3,2,5,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,동백2동행정복지센터,0,0,0,0,2,2,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,쥬네브상가,0,0,0,0,1,3,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,동백소방서.동일하이빌.롯데캐슬,0,2,2,3,4,9,11,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,동백고.풍림코아루.호수마을서해그랑블,0,1,2,3,6,12,17,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,동백중학교,0,3,3,5,10,18,22,19,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,동막초등학교.호수마을계룡리슈빌.어울림,0,1,2,7,9,20,26,19,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,두산위브더제니스.호수마을.자연엔데시앙,0,3,3,8,14,26,34,27,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,동백이마트,0,4,5,10,16,29,40,33,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,어정역,0,3,3,12,17,31,43,36,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
