정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시
0,초당주공3단지후문,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,초당초등학교.현진에버빌,0,1,0,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,초당중학교.삼부르네상스아파트,0,0,0,2,3,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,동백경남아너스빌,0,1,1,3,3,3,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,동백역.성산마을서해그랑블,0,1,1,4,6,6,11,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,동백2동행정복지센터,0,0,0,2,5,5,10,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,쥬네브상가,0,0,0,1,3,1,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,동백소방서.동일하이빌.롯데캐슬,0,2,2,6,8,11,17,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,동백고.풍림코아루.호수마을서해그랑블,0,1,4,7,9,16,23,21,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,동백중학교,0,5,5,9,12,24,30,29,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,동막초등학교.호수마을계룡리슈빌.어울림,0,5,5,11,13,26,33,32,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,두산위브더제니스.호수마을.자연엔데시앙,0,6,7,13,18,33,43,44,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,동백이마트,0,9,9,17,23,40,53,51,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,어정역,0,7,7,18,25,44,58,58,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,어정풍림아파트,0,4,8,21,26,45,49,46,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,갈천마을,0,3,3,18,28,40,46,36,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,지석역,0,0,2,14,29,39,44,37,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,어정삼거리.강남마을,0,6,4,17,34,39,52,37,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,강남대역.강남대입구,0,9,11,19,36,47,52,33,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,수원컨트리클럽,0,10,11,23,37,45,35,32,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,기흥역,0,14,12,27,40,55,59,58,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,롯데캐슬스카이.이안두드림.백남준아트센터,0,10,11,31,38,45,23,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,상미마을.신갈오거리.롯데캐슬레이시티,0,4,15,31,42,52,21,33,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,순천향대학병원,0,0,13,17,29,46,53,56,52,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,남대문세무서.국가인권위원회,0,0,9,8,17,25,32,31,33,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,청계2가교차로,0,0,6,5,14,18,24,22,24,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,조계사,0,0,4,4,8,11,16,14,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,세종문화회관,0,0,3,4,6,7,8,11,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,신한은행본점,0,0,2,3,4,5,6,7,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,서울역버스환승센터(5번승강장)(중),0,0,4,4,5,6,7,9,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,숭례문,0,0,2,3,5,5,6,9,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,명동입구,0,0,5,5,5,8,10,13,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,명동성당,0,0,4,7,8,12,14,17,21,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0
33,순천향대학병원,0,0,1,8,6,10,13,13,19,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0
34,상미마을.신갈오거리.롯데캐슬레이시티,0,0,0,7,10,11,15,17,21,28,19,0,0,0,0,0,0,0,0,0,0,0,0,0
35,롯데캐슬스카이.이안두드림.백남준아트센터,0,0,0,4,10,11,13,15,20,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0
36,기흥역,0,0,0,6,9,10,11,12,16,19,17,0,0,0,0,0,0,0,0,0,0,0,0,0
37,수원컨트리클럽,0,0,0,1,6,5,4,4,6,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0
38,강남대역.강남대입구,0,0,0,4,7,9,9,9,14,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0
39,지석역,0,0,0,1,2,5,5,6,9,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0
40,갈천마을.주공아파트,0,0,0,2,3,3,0,6,7,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0
41,어정풍림아파트,0,0,0,2,5,3,5,5,6,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0
