정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시
0,초당주공3단지후문,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,초당초등학교.현진에버빌,0,2,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,초당중학교.삼부르네상스아파트,0,3,5,3,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,동백경남아너스빌,0,6,6,5,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,동백역.성산마을서해그랑블,0,6,11,7,6,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,동백2동행정복지센터,0,1,4,4,5,4,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,쥬네브상가,0,3,4,2,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,동백소방서.동일하이빌.롯데캐슬,0,10,15,14,10,9,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,동백고.풍림코아루.호수마을서해그랑블,0,11,18,22,14,13,12,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,동백중학교,0,14,24,27,20,18,17,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,동막초등학교.호수마을계룡리슈빌.어울림,0,16,28,32,24,20,18,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,두산위브더제니스.호수마을.자연엔데시앙,0,21,40,42,32,26,24,19,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,동백이마트,0,24,43,49,36,31,29,23,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,어정역,0,27,46,52,39,34,32,26,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,어정풍림아파트,0,28,48,53,41,36,35,27,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,갈천마을,0,22,48,51,39,33,30,25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,지석역,0,24,49,52,40,31,31,21,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,어정삼거리.강남마을,0,28,50,55,43,38,33,27,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,강남대역.강남대입구,0,31,47,54,44,37,38,32,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,수원컨트리클럽,0,34,52,58,48,39,40,32,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,기흥역,0,24,56,62,52,43,46,38,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,롯데캐슬스카이.이안두드림.백남준아트센터,0,12,50,59,52,41,44,38,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,상미마을.신갈오거리.롯데캐슬레이시티,0,5,56,63,55,44,48,40,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,순천향대학병원,0,0,37,55,55,42,36,39,34,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,남대문세무서.국가인권위원회,0,0,25,31,30,24,22,24,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,청계2가교차로,0,0,20,23,22,18,16,17,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,조계사,0,0,13,15,13,10,10,11,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,세종문화회관,0,0,11,11,9,6,6,7,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,신한은행본점,0,0,6,7,5,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,서울역버스환승센터(5번승강장)(중),0,0,9,10,4,4,5,5,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,숭례문,0,0,4,12,4,3,5,6,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,명동입구,0,0,4,17,7,5,8,8,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,명동성당,0,0,3,22,10,8,11,12,14,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,순천향대학병원,0,0,0,20,12,7,12,11,12,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0
34,상미마을.신갈오거리.롯데캐슬레이시티,0,0,0,20,22,9,10,12,15,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0
