정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시
0,명지대,0,0,0,0,0,0,0,0,2,1,2,2,2,2,1,1,1,0,0,0,0,0,0,0
1,이마트.상공회의소,0,0,0,0,0,0,0,0,1,1,1,1,2,0,1,1,0,1,0,1,0,0,0,0
2,역북동행정복지센터.신성아파트.명지대승차장,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
3,동원로얄듀크.용인등기소,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
4,시청.용인대역,0,0,0,0,0,0,0,0,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0
5,진우아파트,0,0,0,0,0,0,0,0,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0
6,삼가동.궁촌,0,0,0,0,0,0,0,0,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
7,삼가역.두산위브,0,0,0,0,0,0,0,0,4,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0
8,멱조현풍림아파트,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,용인미르스타디움,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
10,화운사입구,0,0,0,0,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0
11,초당주공3단지후문,0,0,0,0,0,0,0,0,3,4,2,2,1,1,1,0,0,0,0,0,0,0,0,0
12,초당초등학교.현진에버빌,0,0,0,0,0,0,0,0,5,5,2,2,2,1,0,0,0,0,0,0,0,0,0,0
13,초당중학교.삼부르네상스아파트,0,0,0,0,0,0,0,0,6,5,4,2,2,1,0,0,0,0,0,0,0,0,0,0
14,동백경남아너스빌,0,0,0,0,0,0,0,0,7,7,4,3,3,1,0,1,1,1,1,0,0,0,0,0
15,동백역.성산마을서해그랑블,0,0,0,0,0,0,0,0,13,11,7,8,5,3,2,2,1,1,2,1,0,0,0,0
16,동백2동행정복지센터,0,0,0,0,0,0,0,0,11,10,5,6,5,2,2,2,1,1,1,0,0,0,0,0
17,쥬네브상가,0,0,0,0,0,0,0,0,9,8,5,4,3,2,1,1,0,1,1,1,0,0,0,0
18,동백소방서.동일하이빌.롯데캐슬,0,0,0,0,0,0,0,0,17,16,12,10,8,4,2,2,2,2,2,1,0,0,0,0
19,동백고.풍림코아루.호수마을서해그랑블,0,0,0,0,0,0,0,0,21,22,16,14,10,6,4,4,4,3,3,0,0,0,0,0
20,동백중학교,0,0,0,0,0,0,0,0,26,28,21,19,13,7,4,3,4,3,1,1,0,0,0,0
21,동막초등학교.호수마을계룡리슈빌.어울림,0,0,0,0,0,0,0,0,25,30,22,20,13,8,3,2,3,3,1,1,0,0,0,0
22,두산위브더제니스.호수마을.자연엔데시앙,0,0,0,0,0,0,0,0,32,37,30,26,18,13,7,6,5,4,2,1,0,0,0,0
23,동백이마트,0,0,0,0,0,0,0,0,41,46,36,31,23,17,9,9,7,8,5,3,0,0,0,0
24,어정역,0,0,0,0,0,0,0,0,39,47,40,35,28,17,9,9,8,7,5,2,0,0,0,0
25,어정풍림아파트,0,0,0,0,0,0,0,0,32,44,43,36,26,16,6,6,5,6,2,1,0,0,0,0
26,갈천마을,0,0,0,0,0,0,0,0,21,43,37,33,29,13,4,3,4,3,1,1,0,0,0,0
27,지석역,0,0,0,0,0,0,0,0,29,44,32,29,26,12,2,3,3,4,2,1,0,0,0,0
28,어정삼거리.강남마을,0,0,0,0,0,0,0,0,33,47,38,34,31,15,6,6,3,3,1,1,0,0,0,0
29,강남대역.강남대입구,0,0,0,0,0,0,0,0,37,50,48,42,38,21,13,11,9,10,6,3,0,0,0,0
30,수원컨트리클럽,0,0,0,0,0,0,0,0,28,37,50,48,38,24,13,11,9,7,5,2,0,0,0,0
31,기흥역,0,0,0,0,0,0,0,0,44,59,61,57,48,31,19,14,14,13,12,6,0,0,0,0
