정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시
0,명지대,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
1,이마트.상공회의소,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
2,역북동행정복지센터.신성아파트.명지대승차장,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3,동원로얄듀크.용인등기소,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4,시청.용인대역,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,진우아파트,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,삼가동.궁촌,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,삼가역.두산위브,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,멱조현풍림아파트,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,용인미르스타디움,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,화운사입구,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,초당주공3단지후문,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
12,초당초등학교.현진에버빌,0,0,0,0,0,0,0,0,2,1,1,2,1,0,1,0,1,0,0,0,0,0,0,0
13,초당중학교.삼부르네상스아파트,0,0,0,0,0,0,0,0,3,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0
14,동백경남아너스빌,0,0,0,0,0,0,0,0,3,3,2,2,2,1,1,1,1,1,1,0,0,0,0,0
15,동백역.성산마을서해그랑블,0,0,0,0,0,0,0,0,6,6,4,4,4,2,2,3,3,2,1,0,0,0,0,0
16,동백2동행정복지센터,0,0,0,0,0,0,0,0,4,4,3,3,2,2,1,2,1,1,1,0,0,0,0,0
17,쥬네브상가,0,0,0,0,0,0,0,0,2,4,3,2,2,2,1,1,2,0,0,0,0,0,0,0
18,동백소방서.동일하이빌.롯데캐슬,0,0,0,0,0,0,0,0,9,10,8,7,5,4,2,4,4,3,2,1,0,0,0,0
19,동백고.풍림코아루.호수마을서해그랑블,0,0,0,0,0,0,0,0,12,13,11,9,7,6,3,5,5,3,2,1,0,0,0,0
20,동백중학교,0,0,0,0,0,0,0,0,16,16,13,12,8,7,5,7,6,5,2,0,0,0,0,0
21,동막초등학교.호수마을계룡리슈빌.어울림,0,0,0,0,0,0,0,0,16,18,12,13,7,7,5,6,6,3,1,1,0,0,0,0
22,두산위브더제니스.호수마을.자연엔데시앙,0,0,0,0,0,0,0,0,22,24,19,17,13,10,7,10,9,6,3,2,0,0,0,0
23,동백이마트,0,0,0,0,0,0,0,0,26,30,24,21,18,13,10,13,11,9,6,3,0,0,0,0
24,어정역,0,0,0,0,0,0,0,0,29,32,28,22,20,15,11,14,12,11,5,2,0,0,0,0
25,어정풍림아파트,0,0,0,0,0,0,0,0,27,35,25,20,18,15,9,13,8,6,2,1,0,0,0,0
26,갈천마을,0,0,0,0,0,0,0,0,18,33,23,18,14,11,10,11,8,4,2,0,0,0,0,0
27,지석역,0,0,0,0,0,0,0,0,20,25,24,11,8,3,4,7,5,4,2,0,0,0,0,0
28,어정삼거리.강남마을,0,0,0,0,0,0,0,0,27,31,24,19,19,10,6,10,8,3,3,1,0,0,0,0
29,강남대역.강남대입구,0,0,0,0,0,0,0,0,31,37,34,25,25,18,12,15,15,8,6,3,0,0,0,0
30,수원컨트리클럽,0,0,0,0,0,0,0,0,32,40,36,24,28,18,9,15,14,5,7,2,0,0,0,0
31,기흥역,0,0,0,0,0,0,0,0,44,48,43,32,32,23,16,20,22,14,9,4,0,0,0,0
32,롯데캐슬스카이.이안두드림.백남준아트센터,0,0,0,0,0,0,0,0,36,44,44,31,32,21,15,16,21,10,6,3,0,0,0,0
33,상미마을.신갈오거리.롯데캐슬레이시티,0,0,0,0,0,0,0,0,43,49,49,38,33,24,18,20,24,13,10,3,0,0,0,0
34,순천향대학병원,0,0,0,0,0,0,0,0,0,43,39,36,26,24,18,13,18,14,9,5,2,0,0,0
35,남대문세무서.국가인권위원회,0,0,0,0,0,0,0,0,0,24,22,20,15,13,9,7,10,9,6,3,1,0,0,0
36,청계2가교차로,0,0,0,0,0,0,0,0,0,16,16,15,11,9,8,6,9,7,6,3,1,0,0,0
37,조계사,0,0,0,0,0,0,0,0,0,10,10,11,11,8,7,8,9,7,5,3,1,0,0,0
38,세종문화회관,0,0,0,0,0,0,0,0,0,7,9,13,13,14,13,13,14,12,7,4,1,0,0,0
39,신한은행본점,0,0,0,0,0,0,0,0,0,4,9,13,13,14,12,12,14,12,6,4,1,0,0,0
40,서울역버스환승센터(5번승강장)(중),0,0,0,0,0,0,0,0,0,7,13,20,22,23,22,24,26,25,16,10,5,0,0,0
41,숭례문,0,0,0,0,0,0,0,0,0,6,14,22,23,25,24,24,27,28,21,9,4,0,0,0
42,명동입구,0,0,0,0,0,0,0,0,0,8,20,33,35,36,38,41,44,45,37,19,9,0,0,0
43,명동성당,0,0,0,0,0,0,0,0,0,6,28,41,45,44,47,50,48,51,49,26,12,0,0,0
44,순천향대학병원,0,0,0,0,0,0,0,0,0,2,28,35,30,38,32,38,21,34,31,20,11,0,0,0
45,상미마을.신갈오거리.롯데캐슬레이시티,0,0,0,0,0,0,0,0,0,0,22,34,46,49,47,47,52,55,55,41,20,4,0,0
46,롯데캐슬스카이.이안두드림.백남준아트센터,0,0,0,0,0,0,0,0,0,0,19,31,40,46,43,44,49,50,52,40,16,4,0,0
47,기흥역,0,0,0,0,0,0,0,0,0,0,18,26,36,38,35,38,43,42,42,35,21,4,0,0
48,수원컨트리클럽,0,0,0,0,0,0,0,0,0,0,9,16,19,31,26,29,31,35,34,27,11,1,0,0
49,강남대역.강남대입구,0,0,0,0,0,0,0,0,0,0,12,20,30,34,32,33,35,36,37,30,17,3,0,0
50,지석역,0,0,0,0,0,0,0,0,0,0,4,12,18,22,21,17,26,24,26,22,11,0,0,0
51,갈천마을.주공아파트,0,0,0,0,0,0,0,0,0,0,3,14,18,26,26,20,25,22,29,22,11,0,0,0
52,어정풍림아파트,0,0,0,0,0,0,0,0,0,0,3,13,18,28,24,22,27,25,28,24,12,1,0,0
53,어정역,0,0,0,0,0,0,0,0,0,0,7,15,23,26,24,27,27,27,30,25,16,2,0,0
54,동백이마트,0,0,0,0,0,0,0,0,0,0,7,13,18,20,20,21,22,22,25,22,13,2,0,0
55,평촌마을,0,0,0,0,0,0,0,0,0,0,1,4,9,13,14,12,18,15,18,17,8,1,0,0
56,호수마을.자연앤데시앙.두산위브더제니스,0,0,0,0,0,0,0,0,0,0,5,9,13,15,16,15,17,19,19,17,10,2,0,0
57,호수마을자연앤데시앙.월드메르디앙,0,0,0,0,0,0,0,0,0,0,2,7,10,13,12,11,12,13,15,14,8,1,0,0
58,동막초등학교.호수마을계룡리슈빌.어울림,0,0,0,0,0,0,0,0,0,0,1,6,7,9,9,9,13,10,13,11,6,1,0,0
59,동백중학교,0,0,0,0,0,0,0,0,0,0,2,7,10,10,10,10,12,12,12,12,8,2,0,0
60,동백고.호수마을서해그랑블.풍림코아루,0,0,0,0,0,0,0,0,0,0,2,5,7,9,8,8,9,9,9,10,6,1,0,0
61,동백소방서.동일하이빌.롯데캐슬,0,0,0,0,0,0,0,0,0,0,0,4,5,6,5,6,7,6,7,8,4,1,0,0
62,쥬네브상가,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,3,4,3,4,2,3,1,0,0
63,동백2동행정복지센터,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,2,3,3,1,3,2,1,0,0
64,동백역.성산마을서해그랑블,0,0,0,0,0,0,0,0,0,0,1,3,5,5,6,5,5,7,7,6,4,2,0,0
65,동백경남아너스빌,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,4,3,3,2,1,0,0
66,초당중학교.삼부르네상스아파트,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,2,3,3,3,1,1,0,0
67,초당초등학교.현진에버빌,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,3,3,3,3,2,1,0,0
68,초당역,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,1,3,2,2,1,0,0,0
69,화운사입구,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,2,3,2,1,0,0,0
70,용인미르스타디움,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0
71,멱조현풍림아파트,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,1,0,0,0
72,삼가역.두산위브,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,3,2,2,1,0,0,0
73,진우아파트,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,2,2,2,2,1,0,0,0
74,시청.용인대역,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,3,2,2,2,1,0,0,0
75,동원로얄듀크.용인등기소,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,2,2,2,3,4,1,0,0,0
76,역북동행정복지센터.럭스나인.명지대승차장,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,3,2,3,3,1,0,0,0
77,이마트.상공회의소,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,2,2,2,3,1,0,0,0
78,명지대,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
